data_key,data_period,Prorrata
10347,13,0.0
10347,14,0.0
10347,15,0.0
10347,16,0.0
10347,17,0.0
10347,18,0.0
10347,19,0.0
10361,14,0.0
10361,15,98.04480969137288
10361,16,119.15704579961961
10361,17,113.8609750523087
10361,18,131.5035083851563
10361,19,130.9343399723115
10375,9,7.1
10375,10,0.0
10375,11,0.0
10375,12,0.0
10375,13,0.0
10375,14,0.0
10375,15,0.0
10375,16,0.0
10375,17,0.0
10375,18,0.0
10375,19,0.0
10389,9,3.5
10389,10,0.0
10389,11,0.0
10389,12,0.0
10389,13,0.0
10389,14,0.0
10389,15,0.0
10389,16,0.0
10389,17,0.0
10389,18,0.0
10389,19,12.525043813938396
10417,9,1.6
10417,10,0.0
10417,11,0.0
10417,12,0.0
10417,13,0.0
10417,14,0.0
10417,15,0.0
10417,16,0.0
10417,17,0.0
10417,18,0.0
10417,19,0.0
10459,9,36.97
10459,10,9.237505109450366
10459,11,0.0
10459,12,0.0
10459,13,0.0
10459,14,0.0
10459,15,0.0
10459,16,0.0
10459,17,0.0
10459,18,0.0
10459,19,0.0
10473,9,2.6
10473,10,0.5095558043195081
10473,11,0.0
10473,12,0.0
10473,13,0.0
10473,14,0.0
10473,15,0.0
10473,16,0.0
10473,17,0.0
10473,18,0.0
10473,19,0.12541704388133218
10487,9,2.439
10487,10,0.0
10487,11,0.0
10487,12,0.0
10487,13,0.0
10487,14,0.0
10487,15,0.0
10487,16,0.0
10487,17,0.0
10487,18,0.0
10487,19,0.0
10501,9,13.8
10501,10,5.400915053328766
10501,11,2.4516797952873097
10501,12,0.0
10501,13,0.0
10501,14,0.0
10501,15,0.0
10501,16,0.0
10501,17,0.0
10501,18,0.0
10501,19,1.4104297354052533
10543,9,1.8
10543,10,0.9773440693406475
10543,11,0.9665406996718372
10543,12,1.0281668544484572
10543,13,0.6517542822187286
10543,14,0.7424172262753429
10543,15,1.2302286958545654
10543,16,1.7453235806143268
10543,17,1.6298503129870485
10543,18,2.333510846880498
10543,19,2.6190676938313007
10557,10,0.0
10557,11,0.0
10557,12,0.0
10557,13,0.0
10557,14,33.98635831101249
10557,15,76.39364606506119
10557,16,95.6576939898302
10557,17,101.28302059342742
10557,18,118.48016049200704
10557,19,116.93253338570248
10571,9,15.2
10571,10,0.0
10571,11,0.0
10571,12,0.0
10571,13,0.0
10571,14,0.0
10571,15,0.0
10571,16,0.0
10571,17,0.0
10571,18,0.0
10571,19,0.0
10585,9,8.65
10585,10,2.263270409873161
10585,11,0.0
10585,12,0.0
10585,13,0.0
10585,14,0.0
10585,15,0.0
10585,16,0.0
10585,17,0.0
10585,18,0.0
10585,19,0.0
10599,9,0.36
10599,10,0.0
10599,11,0.0
10599,12,0.0
10599,13,0.0
10599,14,0.0
10599,15,0.0
10599,16,0.0
10599,17,0.0
10599,18,0.0
10599,19,0.0
10613,9,31.13
10613,10,6.315293374471506
10613,11,0.0
10613,12,0.0
10613,13,0.0
10613,14,0.0
10613,15,0.0
10613,16,0.0
10613,17,0.0
10613,18,0.0
10613,19,0.0
10627,9,28.56
10627,10,0.0
10627,11,0.0
10627,12,0.0
10627,13,0.0
10627,14,0.0
10627,15,0.0
10627,16,0.0
10627,17,0.0
10627,18,0.0
10627,19,0.0
10641,9,42.26
10641,10,6.762951348911005
10641,11,0.0
10641,12,0.0
10641,13,0.0
10641,14,0.0
10641,15,0.0
10641,16,0.0
10641,17,0.0
10641,18,0.0
10641,19,0.0
10655,9,11.8
10655,10,0.0
10655,11,0.0
10655,12,0.0
10655,13,0.0
10655,14,0.0
10655,15,0.0
10655,16,0.0
10655,17,0.0
10655,18,0.0
10655,19,0.0
10669,14,0.0
10669,15,0.0
10669,18,0.0
10669,19,0.0
10683,9,11.55
10683,10,2.2599056148097425
10683,11,0.0
10683,12,0.0
10683,13,0.0
10683,14,0.0
10683,15,0.0
10683,16,0.0
10683,17,0.0
10683,18,0.0
10683,19,0.0
10711,9,0.3
10711,10,0.0
10711,11,0.0
10711,12,0.0
10711,13,0.0
10711,14,0.0
10711,15,0.0
10711,16,0.0
10711,17,0.0
10711,18,0.0
10711,19,0.0
